entity,code,year,schizophrenia,bipolar_disorder,eating_disorders,anxiety_disorders,drug_use_disorders,depression,alcohol_use_disorders
Rwanda,RWA,1990,0.158000159425,0.615881252088,0.098718212052,3.60175594369,0.553899689728,4.20099552303,2.36645289163
Rwanda,RWA,1991,0.157653708127,0.615701668801,0.0966411349241,3.60469600392999,0.55653911224,4.22017189102,2.3801487001
Rwanda,RWA,1992,0.157322508311,0.615540533071,0.0949072637655,3.60629333665,0.558718027422999,4.23321953792,2.39206262672
Rwanda,RWA,1993,0.157020674899,0.615372648752,0.0933919441112,3.60569696727999,0.560817963283999,4.23889635108,2.40358439179
Rwanda,RWA,1994,0.156780810632,0.615850645907,0.0930671762713,3.63443079123,0.558086285943,4.26635614166,2.3651596933
Rwanda,RWA,1995,0.15662295223,0.616326221016,0.093397636604,3.65940541267,0.555337015017,4.28708821948,2.32939813159
Rwanda,RWA,1996,0.156431289,0.616281456745,0.0928037148246,3.65829361778,0.554929516242,4.27882287613,2.32588895083
Rwanda,RWA,1997,0.156172867722,0.616317198717,0.0923092810771,3.65818942238,0.554577125338999,4.26568539164,2.31273292652
Rwanda,RWA,1998,0.155909530165,0.616393173261,0.0918726170896,3.65905873882999,0.554019876493,4.24821801611,2.29414435722
Rwanda,RWA,1999,0.155713258992999,0.616489166196,0.0917387315527999,3.65997780672,0.552537289693,4.22981530452,2.27644497781
Rwanda,RWA,2000,0.155649809141,0.616579344224999,0.0915894833454,3.66098537582999,0.552112534646,4.20901234228,2.26442338087
Rwanda,RWA,2001,0.155801654136,0.616787519215,0.0919185600275,3.66120996756999,0.551091483747,4.18841447342,2.26397216739
Rwanda,RWA,2002,0.156150860315,0.617219552952,0.0930069162761,3.66086629421,0.550032646208,4.16604749531,2.2741770572
Rwanda,RWA,2003,0.156608582862,0.617766993641999,0.093803621117,3.66006519712,0.549025298185,4.14350754233,2.28999615077
Rwanda,RWA,2004,0.157091293835,0.618349639441,0.0950783651884,3.65946545851,0.548497795943999,4.11429406287,2.30612699575
Rwanda,RWA,2005,0.157499926164,0.61883725461,0.0962219416963,3.65964699108,0.548100596792999,4.08529377017,2.31661600455
Rwanda,RWA,2006,0.157943123256,0.619318527301,0.0973082803356999,3.66024985113,0.553517623828999,4.03770872674,2.32271050207999
Rwanda,RWA,2007,0.158538279491,0.619945941248999,0.0987592052386999,3.66157067626,0.565763045142999,3.9726319391,2.32852034725
Rwanda,RWA,2008,0.159198231927,0.620641391555,0.100459003967,3.66346229343,0.579360162267,3.90697723992,2.33382877524999
Rwanda,RWA,2009,0.159827189643,0.621301619136,0.101729814187,3.66555703156,0.591113216406,3.85736886164,2.33863164577
Rwanda,RWA,2010,0.160326189898,0.62182353736,0.103551994349,3.66772865422,0.596599356522,3.83634415294,2.34248504415
Rwanda,RWA,2011,0.160746250876,0.622261067908,0.104720664231,3.67007527761,0.597788878103,3.83733628133,2.34550150035
Rwanda,RWA,2012,0.161203533151,0.622768093183,0.106536644893,3.67364852679,0.597996507935,3.83943455852,2.34748241538
Rwanda,RWA,2013,0.161689203129,0.623328606625,0.108072293923999,3.67824456931,0.596626187927,3.84297851634,2.34851123943
Rwanda,RWA,2014,0.162186912836,0.623905405755,0.110042270968999,3.68343435564999,0.59290583583,3.84617347163,2.34862712995
Rwanda,RWA,2015,0.162693387211,0.624512939959,0.112159736065,3.68927947572,0.588300330801,3.85434104404,2.34762054936
Rwanda,RWA,2016,0.163196919379,0.625118998273,0.11400383077,3.69547189064,0.580739926334,3.86095863649999,2.34558091741
Rwanda,RWA,2017,0.163688249993,0.625709943609,0.115817094932,3.70243549941,0.570294213354,3.86944962793,2.34269390614
